config_id,sweep,x_value,requested_total_steps,requested_shape,requested_fault_fraction,requested_independent_fraction,mode,repeat,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,actual_target_count,ledger_edges,execution_ms,rollback_ms,commit_ms,host_clean_before_commit,merged_correct_after_rollback,rollback_precision,rollback_recall,independent_retention,target_removed,useful_work_lost,invalid_work_retained,false_rollback_count,missed_target_count,final_correct
8,fault_position,0.75,32,layered,0.75,0.5,whole_session,2,32,layered,24,0.774194,0.84375,5,27,32,5,2049.687,229.108,0.0,True,False,0.15625,1.0,0.0,1.0,27,0,27,0,False
8,fault_position,0.75,32,layered,0.75,0.5,causal_without_dependencies,0,32,layered,24,0.774194,0.84375,5,27,1,0,2035.225,232.786,1962.158,True,False,1.0,0.2,1.0,0.19999999999999996,0,4,0,4,False
8,fault_position,0.75,32,layered,0.75,0.5,causal_without_dependencies,1,32,layered,24,0.774194,0.84375,5,27,1,0,2050.095,233.996,1971.97,True,False,1.0,0.2,1.0,0.19999999999999996,0,4,0,4,False
8,fault_position,0.75,32,layered,0.75,0.5,causal_without_dependencies,2,32,layered,24,0.774194,0.84375,5,27,1,0,1999.73,232.557,2000.721,True,False,1.0,0.2,1.0,0.19999999999999996,0,4,0,4,False
9,independence,0.25,32,layered,0.25,0.25,causal,0,32,layered,8,0.258065,0.4375,18,14,18,23,2026.693,235.931,1837.183,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
9,independence,0.25,32,layered,0.25,0.25,causal,1,32,layered,8,0.258065,0.4375,18,14,18,23,2030.565,236.182,1811.746,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
9,independence,0.25,32,layered,0.25,0.25,causal,2,32,layered,8,0.258065,0.4375,18,14,18,23,2073.944,238.06,1828.384,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
9,independence,0.25,32,layered,0.25,0.25,temporal,0,32,layered,8,0.258065,0.4375,18,14,24,23,2064.492,230.158,1738.344,True,False,0.75,1.0,0.5714285714285714,1.0,6,0,6,0,False
9,independence,0.25,32,layered,0.25,0.25,temporal,1,32,layered,8,0.258065,0.4375,18,14,24,23,1997.758,231.565,1770.825,True,False,0.75,1.0,0.5714285714285714,1.0,6,0,6,0,False
9,independence,0.25,32,layered,0.25,0.25,temporal,2,32,layered,8,0.258065,0.4375,18,14,24,23,1954.362,230.031,1825.266,True,False,0.75,1.0,0.5714285714285714,1.0,6,0,6,0,False
9,independence,0.25,32,layered,0.25,0.25,whole_session,0,32,layered,8,0.258065,0.4375,18,14,32,23,2015.599,229.98,0.0,True,False,0.5625,1.0,0.0,1.0,14,0,14,0,False
