suite,task,official_group,scale,difficulty,category,version,mode,harness_backend,model,repeats,paired_success_repeats,usage_sources,success_rate,success_tokens_mean,success_prompt_tokens_mean,success_completion_tokens_mean,avoided_tokens_mean,total_tokens_mean,total_tokens_p50,total_tokens_p95,total_tokens_p99,recovery_wall_s_p50,recovery_wall_s_p95
swe,django__django-12497,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.215535,12.215535
swe,django__django-12589,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.961147,71.961147
swe,django__django-12589,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.355327,12.355327
swe,django__django-12589,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.29682,12.29682
swe,django__django-12700,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.958369,46.958369
swe,django__django-12700,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.155864,12.155864
swe,django__django-12700,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.930079,11.930079
swe,django__django-12708,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.230923,76.230923
swe,django__django-12708,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.231875,12.231875
swe,django__django-12708,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.067777,12.067777
swe,django__django-12747,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.508674,100.508674
swe,django__django-12747,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316855,12.316855
swe,django__django-12747,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.098513,12.098513
swe,django__django-12856,django/django,short,,django/django,3.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.943241,45.943241
swe,django__django-12856,django/django,short,,django/django,3.2,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.126232,12.126232
swe,django__django-12856,django/django,short,,django/django,3.2,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12173,12.12173
swe,django__django-12908,django/django,short,,django/django,3.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.89172,93.89172
swe,django__django-12908,django/django,short,,django/django,3.2,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.684404,12.684404
swe,django__django-12908,django/django,short,,django/django,3.2,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.487206,12.487206
swe,django__django-12915,django/django,short,,django/django,3.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.299052,103.299052
swe,django__django-12915,django/django,short,,django/django,3.2,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.160033,12.160033
swe,django__django-12915,django/django,short,,django/django,3.2,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.882589,11.882589
swe,django__django-12983,django/django,short,,django/django,3.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.534553,95.534553
swe,django__django-12983,django/django,short,,django/django,3.2,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.119428,12.119428
